utc,cam,nreq,n403,nok,ncool,nsess,frames,hits,window_s,poll,session,impersonate
2026-09-18 23:49:58,nossob,56,12,44,2,10,16,1,729,10,1,chrome
2026-09-18 23:49:58,talamati,62,2,60,0,2,24,0,729,10,1,chrome
2026-09-18 23:49:58,satara,48,20,28,4,17,12,0,729,10,1,chrome
2026-09-19 00:05:19,nossob,63,3,60,0,3,26,5,727,10,1,chrome
2026-09-19 00:05:19,talamati,52,19,33,3,12,13,0,727,10,1,chrome
2026-09-19 00:05:19,satara,63,2,61,0,2,23,0,727,10,1,chrome
2026-09-19 00:30:28,nossob,58,7,51,1,5,21,8,732,10,1,chrome
2026-09-19 00:30:28,talamati,59,10,49,1,2,21,0,732,10,1,chrome
2026-09-19 00:30:28,satara,58,7,51,1,6,21,0,732,10,1,chrome
2026-09-19 00:49:28,nossob,46,27,19,5,18,11,0,731,10,1,chrome
2026-09-19 00:49:28,talamati,60,13,47,1,3,21,0,731,10,1,chrome
2026-09-19 00:49:28,satara,51,25,26,4,11,10,0,731,10,1,chrome
2026-09-19 01:03:16,nossob,53,27,26,4,10,10,4,729,10,1,chrome
2026-09-19 01:03:16,talamati,62,14,48,1,5,22,0,729,10,1,chrome
2026-09-19 01:03:16,satara,63,2,61,0,2,27,0,729,10,1,chrome
2026-09-19 01:22:11,nossob,49,25,24,4,17,10,1,729,10,1,chrome
2026-09-19 01:22:11,talamati,57,5,52,1,5,22,0,729,10,1,chrome
2026-09-19 01:22:11,satara,48,23,25,4,19,6,0,729,10,1,chrome
2026-09-19 01:38:47,nossob,51,15,36,3,13,14,3,731,10,1,chrome
2026-09-19 01:38:47,talamati,55,21,34,3,10,14,0,731,10,1,chrome
2026-09-19 01:38:47,satara,63,3,60,0,3,20,0,731,10,1,chrome
2026-09-19 01:53:11,nossob,58,9,49,1,8,21,3,730,10,1,chrome
2026-09-19 01:53:11,talamati,60,2,58,0,2,24,0,730,10,1,chrome
2026-09-19 01:53:11,satara,61,0,61,0,1,24,0,730,10,1,chrome
2026-09-19 02:11:46,nossob,61,3,58,0,3,26,6,729,10,1,chrome
2026-09-19 02:11:46,talamati,45,28,17,5,19,8,0,729,10,1,chrome
2026-09-19 02:11:46,satara,55,14,41,2,8,18,0,729,10,1,chrome
2026-09-19 02:28:56,nossob,51,18,33,3,15,14,1,731,10,1,chrome
2026-09-19 02:28:56,talamati,59,0,59,0,1,24,0,731,10,1,chrome
2026-09-19 02:28:56,satara,61,3,58,0,3,25,0,731,10,1,chrome
