utc,last_modified,preset,n,dist,mode,bright,px,blob,bw,bh,fill,dom,nblobs,blocks,vetoed,hit,bytes
2026-08-30 15:28:06,"Sun, 30 Aug 2026 15:28:01 GMT",1,2,3.4,day,122.6,2234,32,23,2,0.7,0.21,25,149,0,0,236569
2026-08-30 15:28:54,"Sun, 30 Aug 2026 15:28:47 GMT",2,2,4.0,day,126.8,2642,113,36,7,0.45,0.58,20,194,0,0,195163
2026-08-30 15:29:06,"Sun, 30 Aug 2026 15:29:01 GMT",2,3,3.1,day,125.2,2101,78,35,7,0.32,0.52,18,151,0,0,193402
2026-08-30 15:30:06,"Sun, 30 Aug 2026 15:30:02 GMT",3,2,0.7,day,114.5,0,0,1,1,0.0,0.0,0,0,0,0,233519
2026-08-30 15:32:06,"Sun, 30 Aug 2026 15:32:01 GMT",6,2,0.4,day,89.4,10,1,1,1,1.0,1.0,1,1,0,0,241191
2026-08-30 15:37:26,"Sun, 30 Aug 2026 15:37:02 GMT",0,2,7.5,day,115.2,5983,362,70,17,0.3,0.78,16,464,0,0,224414
2026-08-30 15:37:50,"Sun, 30 Aug 2026 15:37:47 GMT",1,3,8.9,day,120.5,7950,246,51,10,0.48,0.4,22,611,0,0,236337
2026-08-30 15:38:14,"Sun, 30 Aug 2026 15:38:02 GMT",2,4,15.3,day,147.8,10969,188,46,12,0.34,0.23,60,813,0,0,192699
2026-08-30 15:38:50,"Sun, 30 Aug 2026 15:38:46 GMT",6,3,22.7,day,91.0,45512,3292,96,54,0.64,0.95,35,3452,0,0,242061
2026-08-30 15:39:14,"Sun, 30 Aug 2026 15:39:02 GMT",6,4,15.9,day,91.3,36173,2394,96,54,0.46,0.89,80,2678,0,0,242711
2026-08-30 15:40:06,"Sun, 30 Aug 2026 15:40:01 GMT",4,2,2.4,day,81.2,786,14,8,2,0.88,0.31,14,45,0,0,116984
2026-08-30 15:40:53,"Sun, 30 Aug 2026 15:40:46 GMT",5,2,1.8,day,74.7,493,9,6,2,0.75,0.39,5,23,0,0,213793
2026-08-30 15:41:06,"Sun, 30 Aug 2026 15:41:02 GMT",6,5,11.8,day,90.4,16992,254,57,11,0.41,0.2,73,1254,0,0,218824
2026-08-30 15:46:48,"Sun, 30 Aug 2026 15:46:46 GMT",0,3,6.2,day,113.1,5046,287,70,11,0.37,0.73,18,393,0,0,222895
2026-08-30 15:47:13,"Sun, 30 Aug 2026 15:47:02 GMT",1,4,8.6,day,124.5,6386,161,24,15,0.45,0.34,53,480,0,0,247370
2026-08-30 15:47:50,"Sun, 30 Aug 2026 15:47:46 GMT",2,5,10.7,day,131.2,7341,127,17,16,0.47,0.23,35,550,0,0,209008
2026-08-30 15:48:14,"Sun, 30 Aug 2026 15:48:02 GMT",2,6,7.8,day,127.0,4884,76,17,10,0.45,0.21,33,361,0,1,205082
2026-08-30 15:48:51,"Sun, 30 Aug 2026 15:48:47 GMT",3,3,9.9,day,117.5,5747,385,96,12,0.33,0.97,2,396,0,0,253634
2026-08-30 15:49:15,"Sun, 30 Aug 2026 15:49:02 GMT",3,4,6.5,day,113.1,4557,198,49,9,0.45,0.58,3,339,0,0,248839
2026-08-30 15:49:52,"Sun, 30 Aug 2026 15:49:46 GMT",4,3,3.4,day,81.0,2397,70,19,6,0.61,0.43,9,161,0,0,118395
2026-08-30 15:50:04,"Sun, 30 Aug 2026 15:50:01 GMT",5,3,1.8,day,73.4,63,0,1,1,0.0,0.0,0,0,0,0,203641
2026-08-30 15:50:56,"Sun, 30 Aug 2026 15:50:47 GMT",6,6,7.2,day,85.7,4699,68,18,7,0.54,0.23,56,295,0,0,203775
2026-08-30 15:51:09,"Sun, 30 Aug 2026 15:51:01 GMT",6,7,4.6,day,81.3,1261,57,17,6,0.56,0.71,8,80,0,0,197571
2026-08-30 15:55:45,"Sun, 30 Aug 2026 15:55:03 GMT",5,4,2.8,day,64.0,748,19,6,5,0.63,0.5,8,38,0,0,193099
2026-08-30 15:55:57,"Sun, 30 Aug 2026 15:55:46 GMT",6,8,5.0,day,70.7,2429,91,16,14,0.41,0.54,11,168,0,0,182374
2026-08-30 15:56:10,"Sun, 30 Aug 2026 15:56:02 GMT",0,4,5.0,day,99.8,4515,130,59,6,0.37,0.38,17,346,0,0,198886
2026-08-30 15:57:01,"Sun, 30 Aug 2026 15:56:46 GMT",1,5,6.8,day,109.0,6410,108,20,13,0.42,0.22,49,485,0,0,224190
2026-08-30 15:57:13,"Sun, 30 Aug 2026 15:57:02 GMT",1,6,4.8,day,108.7,3305,40,14,7,0.41,0.17,30,232,0,0,224704
2026-08-30 15:58:04,"Sun, 30 Aug 2026 15:58:02 GMT",6,9,18.6,day,80.4,38439,2660,96,54,0.51,0.92,67,2895,0,0,222629
2026-08-30 15:58:17,"Sun, 30 Aug 2026 15:58:02 GMT",6,10,13.0,day,80.4,27823,1014,92,34,0.32,0.49,72,2069,0,0,222629
2026-08-30 15:58:54,"Sun, 30 Aug 2026 15:58:47 GMT",3,5,8.0,day,91.5,6071,340,96,11,0.32,0.79,18,432,0,0,219801
2026-08-30 15:59:07,"Sun, 30 Aug 2026 15:59:01 GMT",4,4,13.3,day,87.7,16964,442,65,12,0.57,0.37,28,1193,0,0,101738
2026-08-30 15:59:56,"Sun, 30 Aug 2026 15:59:47 GMT",5,5,12.2,day,60.5,13403,491,74,11,0.6,0.51,36,955,0,0,172744
2026-08-30 16:00:08,"Sun, 30 Aug 2026 16:00:01 GMT",5,6,9.1,night,59.3,5701,278,63,8,0.55,0.64,32,437,0,0,171126
2026-08-30 16:05:00,"Sun, 30 Aug 2026 16:04:46 GMT",5,7,22.9,night,71.6,30946,973,96,19,0.53,0.45,34,2164,0,0,185230
2026-08-30 16:06:12,"Sun, 30 Aug 2026 16:06:02 GMT",8,2,1.3,night,122.3,3,0,1,1,0.0,0.0,0,0,0,0,174008
2026-08-30 16:06:48,"Sun, 30 Aug 2026 16:06:46 GMT",8,3,20.9,night,124.3,38658,1381,96,25,0.58,0.5,75,2737,0,0,185241
2026-08-30 16:07:13,"Sun, 30 Aug 2026 16:07:02 GMT",8,4,14.7,night,122.7,28462,1101,96,16,0.72,0.54,74,2044,0,0,192666
2026-08-30 16:09:13,"Sun, 30 Aug 2026 16:09:02 GMT",11,2,1.7,night,155.3,10,0,1,1,0.0,0.0,0,0,0,0,170368
2026-08-30 16:14:56,"Sun, 30 Aug 2026 16:14:46 GMT",7,2,16.4,night,109.2,20885,458,22,54,0.39,0.3,42,1539,0,0,173738
2026-08-30 16:15:08,"Sun, 30 Aug 2026 16:15:02 GMT",7,3,11.3,night,107.6,9691,233,16,43,0.34,0.36,46,656,0,0,173255
2026-08-30 16:16:07,"Sun, 30 Aug 2026 16:16:01 GMT",9,2,20.8,night,81.6,32998,2008,87,54,0.43,0.85,50,2364,0,0,141102
2026-08-30 16:16:55,"Sun, 30 Aug 2026 16:16:47 GMT",9,3,14.8,night,91.5,19668,874,63,51,0.27,0.63,36,1398,0,0,161439
2026-08-30 16:17:07,"Sun, 30 Aug 2026 16:17:01 GMT",9,4,11.7,night,84.2,10529,253,33,15,0.51,0.33,51,762,0,0,144560
2026-08-30 16:17:55,"Sun, 30 Aug 2026 16:17:46 GMT",10,2,7.4,night,152.9,5198,370,69,7,0.77,0.99,3,374,0,0,145230
2026-08-30 16:18:07,"Sun, 30 Aug 2026 16:18:02 GMT",10,3,5.3,night,153.0,1289,81,29,5,0.56,0.88,8,92,0,0,144971
2026-08-30 16:23:53,"Sun, 30 Aug 2026 16:23:46 GMT",12,2,5.3,night,112.7,5442,66,23,7,0.41,0.24,53,278,0,0,179554
2026-08-30 16:24:05,"Sun, 30 Aug 2026 16:24:01 GMT",12,3,4.2,night,112.2,3662,61,23,7,0.38,0.29,29,210,0,0,178982
2026-08-30 16:24:52,"Sun, 30 Aug 2026 16:24:47 GMT",7,4,10.6,night,107.0,8141,200,17,45,0.26,0.36,41,558,0,0,172217
2026-08-30 16:25:04,"Sun, 30 Aug 2026 16:25:01 GMT",9,5,16.8,night,84.2,21118,1146,90,25,0.51,0.75,51,1522,0,0,143585
2026-08-30 16:25:51,"Sun, 30 Aug 2026 16:25:46 GMT",9,6,14.4,night,78.2,19131,1238,48,49,0.53,0.9,33,1373,0,0,138934
2026-08-30 16:26:15,"Sun, 30 Aug 2026 16:26:02 GMT",9,7,10.0,night,77.8,13277,880,47,44,0.43,0.87,32,1009,0,1,138322
