utc,last_modified,preset,n,dist,dist2,mode,bright,px,pxlo,edge,blob,blob2,bw,bh,fill,dom,dom2,cx,cy,bpk,bsat,bact,nblobs,blocks,vetoed,veto30,hit,bytes
2026-09-24 00:02:53,"Thu, 24 Sep 2026 00:02:46 GMT",3243,233,2.6,10.7,night,115.5,1156,6214,5.27,46,21,13,10,0.35,0.61,0.65,0.066,0.119,255,0.33,0.156,6,75,0,4,0,198321
2026-09-24 00:03:05,"Thu, 24 Sep 2026 00:03:01 GMT",3041,240,1.9,11.9,night,102.2,614,5065,6.3,20,8,4,7,0.71,0.59,0.62,0.979,0.739,110,0.0,0.122,4,34,0,2,0,173702
2026-09-24 00:03:56,"Thu, 24 Sep 2026 00:03:47 GMT",2929,309,0.4,13.9,night,178.2,1,412,3.9,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,169065
2026-09-24 00:04:08,"Thu, 24 Sep 2026 00:04:02 GMT",3522,2,10.3,10.5,night,204.8,9534,25183,2.7,377,139,24,33,0.48,0.58,0.58,0.523,0.736,249,0.0,0.06,8,653,0,0,0,129621
2026-09-24 00:04:58,"Thu, 24 Sep 2026 00:04:46 GMT",3240,235,4.1,18.8,night,131.8,2158,8301,7.65,110,15,16,12,0.57,0.72,0.75,0.18,0.325,226,0.0,0.109,9,152,0,15,1,188484
2026-09-24 00:05:10,"Thu, 24 Sep 2026 00:05:02 GMT",3240,236,3.4,18.2,night,128.7,896,6880,8.46,20,11,5,5,0.8,0.38,0.47,0.972,0.116,255,0.85,0.064,13,53,0,4,0,205837
2026-09-24 00:05:48,"Thu, 24 Sep 2026 00:05:46 GMT",3241,237,2.4,15.4,night,133.5,441,5163,7.29,13,2,6,3,0.72,0.65,1.0,0.02,0.261,176,0.0,0.078,7,20,0,1,0,192030
2026-09-24 00:06:01,"Thu, 24 Sep 2026 00:05:46 GMT",3241,238,1.7,15.4,night,133.5,136,2683,7.29,5,1,3,2,0.83,0.83,1.0,0.029,0.267,176,0.0,0.131,2,6,0,0,0,192030
2026-09-24 00:06:13,"Thu, 24 Sep 2026 00:06:02 GMT",3242,228,4.9,13.7,night,108.4,3073,16565,5.76,61,29,14,10,0.44,0.3,0.33,0.175,0.31,255,0.02,0.089,26,203,0,10,0,175692
2026-09-24 00:07:42,"Thu, 24 Sep 2026 00:07:02 GMT",3039,264,2.9,12.1,night,99.6,468,4132,6.47,24,2,8,6,0.5,0.86,1.0,0.202,0.441,255,0.25,0.069,4,28,0,0,0,158573
2026-09-24 00:07:54,"Thu, 24 Sep 2026 00:07:47 GMT",3041,241,2.3,12.1,night,102.8,826,7332,5.87,20,18,8,7,0.36,0.43,0.44,0.081,0.11,168,0.0,0.122,5,47,0,0,0,165190
2026-09-24 00:08:06,"Thu, 24 Sep 2026 00:08:02 GMT",3041,242,1.5,12.0,night,102.1,294,5806,6.28,16,0,3,7,0.76,1.0,1.0,0.982,0.734,122,0.0,0.226,1,16,0,0,0,173427
2026-09-24 00:08:56,"Thu, 24 Sep 2026 00:08:46 GMT",2929,310,0.8,12.9,night,178.5,0,716,3.9,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,169147
2026-09-24 00:09:08,"Thu, 24 Sep 2026 00:09:02 GMT",3529,3,6.6,15.0,night,137.1,6038,21471,5.43,158,39,19,36,0.23,0.38,0.4,0.115,0.313,248,0.0,0.066,34,411,0,0,0,190476
2026-09-24 00:09:58,"Thu, 24 Sep 2026 00:09:47 GMT",3240,237,4.3,16.0,night,132.8,2423,8294,7.76,77,34,14,8,0.69,0.49,0.52,0.087,0.058,216,0.0,0.11,15,156,0,13,0,192189
2026-09-24 00:10:11,"Thu, 24 Sep 2026 00:10:01 GMT",3240,238,2.8,16.5,night,133.4,1365,7020,8.67,30,28,10,6,0.5,0.34,0.49,0.083,0.041,160,0.0,0.142,23,87,0,11,0,207845
2026-09-24 00:11:14,"Thu, 24 Sep 2026 00:11:01 GMT",3242,229,4.1,10.9,night,105.5,2075,12667,5.63,64,17,11,8,0.73,0.49,0.54,0.083,0.056,172,0.0,0.072,18,131,0,13,0,170987
2026-09-24 00:11:51,"Thu, 24 Sep 2026 00:11:46 GMT",3039,265,2.0,12.4,night,95.4,136,3392,6.37,2,1,2,1,1.0,0.29,0.0,0.224,0.463,136,0.0,0.129,6,7,0,0,0,154725
2026-09-24 00:12:15,"Thu, 24 Sep 2026 00:12:02 GMT",3039,266,1.4,12.4,night,95.5,162,2261,6.33,5,2,3,3,0.56,0.42,1.0,0.023,0.204,138,0.0,0.111,6,12,0,0,0,152571
2026-09-24 00:12:52,"Thu, 24 Sep 2026 00:12:46 GMT",3041,243,1.6,12.4,night,101.7,91,6303,6.27,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,172623
2026-09-24 00:13:05,"Thu, 24 Sep 2026 00:13:01 GMT",3041,244,1.3,12.3,night,102.3,425,4649,6.38,23,3,8,7,0.41,0.82,0.88,0.047,0.146,183,0.0,0.279,3,28,0,9,0,174806
