utc,sast,cam,mode,preset,source,logged_blob,md_animal_conf,keep,keep_conf,prediction_common,prediction_class,prediction_score,n_detections,md_bw_blocks,md_bh_blocks,md_cx,md_cy,model_version,path
2026-09-14 00:07:52,2026-09-14 02:07:52,nossob,night,15,hits,12,0.7319,1,0.15,animal,,0.7319,2,7.7,11.8,0.317,0.535,4.0.3a,hits/nossob/20260914/000752_p15_blob12.jpg
2026-09-14 00:09:10,2026-09-14 02:09:10,nossob,night,16,frames,16,0.0,0,0.15,blank,,0.9891,1,4.9,10.2,0.101,0.393,4.0.3a,frames/nossob/20260914/000910_p16_blob0016_f0.53.jpg
2026-09-14 00:13:56,2026-09-14 02:13:56,nossob,night,11,hits,8,0.0156,0,0.15,blank,,0.9999,2,1.0,1.0,0.257,0.576,4.0.3a,hits/nossob/20260914/001356_p11_blob8.jpg
2026-09-14 00:32:14,2026-09-14 02:32:14,nossob,night,14,hits,3,0.4632,1,0.15,no cv result,no cv result,0.1258,2,1.6,1.5,0.29,0.588,4.0.3a,hits/nossob/20260914/003214_p14_blob3.jpg
2026-09-14 00:33:12,2026-09-14 02:33:12,nossob,night,8,hits,62,0.888,1,0.15,canine family,mammalia,0.9739,5,12.2,13.2,0.284,0.513,4.0.3a,hits/nossob/20260914/003312_p8_blob62.jpg
2026-09-14 00:38:53,2026-09-14 02:38:53,nossob,night,19,frames,106,0.0239,0,0.15,blank,,0.9998,4,1.3,1.5,0.682,0.415,4.0.3a,frames/nossob/20260914/003853_p19_blob0106_f0.61.jpg
2026-09-14 00:53:07,2026-09-14 02:53:07,nossob,night,18,hits,6,0.0215,0,0.15,blank,,0.9972,5,1.0,1.3,0.36,0.397,4.0.3a,hits/nossob/20260914/005307_p18_blob6.jpg
2026-09-14 00:58:57,2026-09-14 02:58:57,nossob,night,64,frames,45,0.0,0,0.15,blank,,0.9985,4,3.1,5.6,0.226,0.429,4.0.3a,frames/nossob/20260914/005857_p64_blob0045_f0.41.jpg
2026-09-14 01:10:00,2026-09-14 03:10:00,nossob,night,11,hits,9,0.8932,1,0.15,black-backed jackal,mammalia,0.7486,8,4.7,4.4,0.279,0.685,4.0.3a,hits/nossob/20260914/011000_p11_blob9.jpg
2026-09-14 01:13:54,2026-09-14 03:13:54,nossob,night,18,frames,23,0.112,0,0.15,blank,,0.9981,6,2.9,1.5,0.238,0.455,4.0.3a,frames/nossob/20260914/011354_p18_blob0023_f0.43.jpg
2026-09-14 01:15:57,2026-09-14 03:15:57,nossob,night,14,hits,3,0.0186,0,0.15,blank,,0.9986,2,3.7,1.2,0.449,0.155,4.0.3a,hits/nossob/20260914/011557_p14_blob3.jpg
2026-09-14 01:34:02,2026-09-14 03:34:02,nossob,night,14,hits,3,0.0,0,0.15,blank,,0.9968,0,,,,,4.0.3a,hits/nossob/20260914/013402_p14_blob3.jpg
2026-09-14 01:35:58,2026-09-14 03:35:58,nossob,night,78,frames,451,0.0,0,0.15,blank,,0.9969,0,,,,,4.0.3a,frames/nossob/20260914/013558_p78_blob0451_f0.61.jpg
2026-09-14 01:49:05,2026-09-14 03:49:05,nossob,night,18,hits,38,0.0937,0,0.15,blank,,0.983,7,2.5,1.2,0.28,0.46,4.0.3a,hits/nossob/20260914/014905_p18_blob38.jpg
2026-09-14 01:49:17,2026-09-14 03:49:17,nossob,night,18,hits,32,0.0648,0,0.15,blank,,0.9872,6,2.6,1.2,0.28,0.461,4.0.3a,hits/nossob/20260914/014917_p18_blob32.jpg
2026-09-14 01:56:57,2026-09-14 03:56:57,nossob,night,14,frames,131,0.0233,0,0.15,blank,,0.9958,3,3.1,6.0,0.331,0.543,4.0.3a,frames/nossob/20260914/015657_p14_blob0131_f0.64.jpg
2026-09-14 01:59:51,2026-09-14 03:59:51,nossob,night,14,frames,15,0.0201,0,0.15,blank,,0.9973,2,17.4,2.5,0.442,0.566,4.0.3a,frames/nossob/20260914/015951_p14_blob0015_f0.75.jpg
2026-09-14 02:26:23,2026-09-14 04:26:23,nossob,night,141,frames,26,0.015,0,0.15,blank,,0.9999,3,2.6,3.5,0.31,0.339,4.0.3a,frames/nossob/20260914/022623_p141_blob0026_f0.51.jpg
2026-09-14 02:27:04,2026-09-14 04:27:04,nossob,night,18,hits,21,0.0617,0,0.15,blank,,0.9887,7,10.6,4.4,0.315,0.43,4.0.3a,hits/nossob/20260914/022704_p18_blob21.jpg
2026-09-14 02:31:00,2026-09-14 04:31:00,nossob,night,12,hits,18,0.0,0,0.15,blank,,0.9713,0,,,,,4.0.3a,hits/nossob/20260914/023100_p12_blob18.jpg
