utc,sast,cam,mode,preset,source,logged_blob,md_animal_conf,keep,keep_conf,prediction_common,prediction_class,prediction_score,n_detections,md_bw_blocks,md_bh_blocks,md_cx,md_cy,model_version,path
2026-09-13 00:00:58,2026-09-13 02:00:58,nossob,night,11,hits,15,0.6517,1,0.15,animal,,0.6517,5,3.6,3.7,0.281,0.704,4.0.3a,hits/nossob/20260913/000058_p11_blob15.jpg
2026-09-13 00:01:59,2026-09-13 02:01:59,nossob,night,18,hits,16,0.8185,1,0.15,artiodactyla order,mammalia,0.7046,2,5.3,5.0,0.035,0.378,4.0.3a,hits/nossob/20260913/000159_p18_blob16.jpg
2026-09-13 00:02:15,2026-09-13 02:02:15,nossob,night,18,hits,19,0.8555,1,0.15,canine family,mammalia,0.7448,2,6.5,5.0,0.051,0.384,4.0.3a,hits/nossob/20260913/000215_p18_blob19.jpg
2026-09-13 00:04:14,2026-09-13 02:04:14,nossob,night,14,hits,5,0.1845,1,0.15,blank,,0.9726,4,1.8,1.5,0.286,0.581,4.0.3a,hits/nossob/20260913/000414_p14_blob5.jpg
2026-09-13 00:05:15,2026-09-13 02:05:15,nossob,night,19,frames,142,0.9361,1,0.15,animal,,0.9361,3,10.0,8.8,0.092,0.437,4.0.3a,frames/nossob/20260913/000515_p19_blob0142_f0.46.jpg
2026-09-13 00:10:08,2026-09-13 02:10:08,nossob,night,14,hits,6,0.1353,0,0.15,no cv result,no cv result,0.2175,4,2.7,1.4,0.264,0.593,4.0.3a,hits/nossob/20260913/001008_p14_blob6.jpg
2026-09-13 00:28:59,2026-09-13 02:28:59,nossob,night,8,hits,42,0.819,1,0.15,canine family,mammalia,0.9941,2,6.9,14.9,0.635,0.553,4.0.3a,hits/nossob/20260913/002859_p8_blob42.jpg
2026-09-13 00:30:13,2026-09-13 02:30:13,nossob,night,11,hits,11,0.4816,1,0.15,no cv result,no cv result,0.567,6,4.8,4.3,0.188,0.718,4.0.3a,hits/nossob/20260913/003013_p11_blob11.jpg
2026-09-13 00:31:16,2026-09-13 02:31:16,nossob,night,18,hits,3,0.1001,0,0.15,blank,,0.9294,3,10.3,3.7,0.313,0.419,4.0.3a,hits/nossob/20260913/003116_p18_blob3.jpg
2026-09-13 00:33:57,2026-09-13 02:33:57,nossob,night,64,frames,108,0.0,0,0.15,blank,,0.9552,1,3.8,11.2,0.284,0.394,4.0.3a,frames/nossob/20260913/003357_p64_blob0108_f0.64.jpg
2026-09-13 00:51:53,2026-09-13 02:51:53,nossob,night,18,hits,3,0.0615,0,0.15,blank,,0.9982,5,3.4,1.5,0.606,0.515,4.0.3a,hits/nossob/20260913/005153_p18_blob3.jpg
2026-09-13 00:55:20,2026-09-13 02:55:20,nossob,night,8,hits,8,0.0104,0,0.15,blank,,0.8814,1,4.9,2.7,0.666,0.419,4.0.3a,hits/nossob/20260913/005520_p8_blob8.jpg
2026-09-13 00:57:58,2026-09-13 02:57:58,nossob,night,8,frames,149,0.9109,1,0.15,canis species,mammalia,0.9449,1,27.6,13.9,0.782,0.872,4.0.3a,frames/nossob/20260913/005758_p8_blob0149_f0.57.jpg
2026-09-13 01:00:59,2026-09-13 03:00:59,nossob,night,8,hits,68,0.8997,1,0.15,canine family,mammalia,0.9961,2,11.1,11.2,0.567,0.441,4.0.3a,hits/nossob/20260913/010059_p8_blob68.jpg
2026-09-13 01:01:12,2026-09-13 03:01:12,nossob,night,8,hits,62,0.8819,1,0.15,canine family,mammalia,0.9374,2,7.0,11.8,0.532,0.42,4.0.3a,hits/nossob/20260913/010112_p8_blob62.jpg
2026-09-13 01:02:58,2026-09-13 03:02:58,nossob,night,14,hits,4,0.2623,1,0.15,no cv result,no cv result,0.6489,6,1.3,1.9,0.198,0.564,4.0.3a,hits/nossob/20260913/010258_p14_blob4.jpg
2026-09-13 01:04:00,2026-09-13 03:04:00,nossob,night,8,hits,37,0.0,0,0.15,blank,,0.9124,0,,,,,4.0.3a,hits/nossob/20260913/010400_p8_blob37.jpg
