utc,last_modified,preset,n,dist,mode,bright,px,blob,bw,bh,fill,dom,nblobs,blocks,vetoed,hit,bytes
2026-08-31 03:04:53,"Mon, 31 Aug 2026 03:04:49 GMT",14,36,5.4,night,52.8,2657,175,60,5,0.58,0.9,12,195,0,0,68728
2026-08-31 03:05:16,"Mon, 31 Aug 2026 03:05:04 GMT",14,37,1.6,night,58.4,648,40,24,3,0.56,0.82,3,49,0,0,74170
2026-08-31 03:05:51,"Mon, 31 Aug 2026 03:05:50 GMT",13,26,0.6,night,47.1,447,2,1,2,1.0,0.2,8,10,0,0,108564
2026-08-31 03:06:03,"Mon, 31 Aug 2026 03:05:50 GMT",13,27,0.4,night,47.1,143,1,1,1,1.0,1.0,1,1,0,0,108564
2026-08-31 03:06:15,"Mon, 31 Aug 2026 03:06:06 GMT",8,32,0.9,night,77.7,1528,7,3,4,0.58,0.22,20,32,0,0,141139
2026-08-31 03:07:02,"Mon, 31 Aug 2026 03:06:51 GMT",15,19,1.8,night,74.4,696,2,1,2,1.0,0.12,12,16,0,0,135198
2026-08-31 03:07:14,"Mon, 31 Aug 2026 03:07:06 GMT",15,20,1.3,night,74.3,304,1,1,1,1.0,0.25,4,4,0,0,136714
2026-08-31 03:08:01,"Mon, 31 Aug 2026 03:07:50 GMT",14,38,1.3,night,59.8,455,32,23,3,0.46,0.84,3,38,0,0,75558
2026-08-31 03:08:13,"Mon, 31 Aug 2026 03:08:05 GMT",14,39,0.9,night,59.6,209,7,7,1,1.0,0.47,4,15,0,1,75261
2026-08-31 03:08:59,"Mon, 31 Aug 2026 03:08:50 GMT",13,28,0.7,night,48.5,46,0,1,1,0.0,0.0,0,0,0,0,109669
2026-08-31 03:09:11,"Mon, 31 Aug 2026 03:09:06 GMT",8,33,0.7,night,77.8,554,6,3,4,0.5,0.43,7,14,0,0,140489
2026-08-31 03:14:27,"Mon, 31 Aug 2026 03:14:04 GMT",14,40,0.7,night,59.8,22,0,1,1,0.0,0.0,0,0,0,0,75156
2026-08-31 03:15:03,"Mon, 31 Aug 2026 03:14:50 GMT",8,34,0.9,night,79.3,474,3,1,3,1.0,0.38,6,8,0,0,142233
2026-08-31 03:15:16,"Mon, 31 Aug 2026 03:15:07 GMT",8,35,0.6,night,79.2,138,0,1,1,0.0,0.0,0,0,0,0,142716
2026-08-31 03:16:05,"Mon, 31 Aug 2026 03:15:51 GMT",15,21,0.9,night,74.2,182,3,1,3,1.0,0.75,2,4,0,1,136858
2026-08-31 03:16:17,"Mon, 31 Aug 2026 03:16:04 GMT",13,29,8.7,night,38.1,12290,586,79,16,0.46,0.65,38,901,0,0,93790
2026-08-31 03:16:54,"Mon, 31 Aug 2026 03:16:49 GMT",14,41,0.5,night,58.2,4,0,1,1,0.0,0.0,0,0,0,0,73756
2026-08-31 03:17:06,"Mon, 31 Aug 2026 03:17:04 GMT",14,42,0.4,night,58.2,9,0,1,1,0.0,0.0,0,0,0,0,73874
2026-08-31 03:17:54,"Mon, 31 Aug 2026 03:17:51 GMT",8,36,0.4,night,77.3,62,0,1,1,0.0,0.0,0,0,0,0,140273
2026-08-31 03:18:19,"Mon, 31 Aug 2026 03:18:05 GMT",8,37,0.3,night,77.3,34,0,1,1,0.0,0.0,0,0,0,0,140111
2026-08-31 03:18:56,"Mon, 31 Aug 2026 03:18:51 GMT",15,22,0.7,night,74.1,147,1,1,1,1.0,0.5,2,2,0,0,135383
