utc,last_modified,preset,n,dist,dist2,mode,bright,px,pxlo,edge,blob,blob2,bw,bh,fill,dom,dom2,cx,cy,bpk,bsat,bact,nblobs,blocks,vetoed,veto30,hit,bytes
2026-09-04 12:37:50,"Fri, 04 Sep 2026 12:37:08 GMT",2,145,1.9,7.4,day,157.9,3808,10282,14.5,16,15,4,6,0.67,0.11,0.13,0.204,0.404,235,0.0,0.184,37,151,130,220,0,346748
2026-09-04 12:38:03,"Fri, 04 Sep 2026 12:37:52 GMT",0,65,4.0,5.0,day,114.7,3429,10445,11.61,78,26,30,6,0.43,0.35,0.43,0.506,0.043,255,0.31,0.28,41,225,1,70,0,271127
2026-09-04 12:38:15,"Fri, 04 Sep 2026 12:38:09 GMT",57,4,7.3,13.1,day,126.0,28318,50219,10.23,978,674,76,36,0.36,0.43,0.44,0.612,0.718,237,0.0,0.11,72,2292,0,0,0,243054
2026-09-04 12:39:01,"Fri, 04 Sep 2026 12:38:54 GMT",119,40,1.6,3.7,day,160.6,3859,11545,12.85,55,16,17,6,0.54,0.28,0.35,0.698,0.407,243,0.0,0.237,51,198,17,86,0,323837
2026-09-04 12:39:14,"Fri, 04 Sep 2026 12:39:07 GMT",119,41,1.0,3.7,day,160.4,2165,8209,12.75,20,9,9,5,0.44,0.23,0.37,0.683,0.404,186,0.0,0.32,31,86,18,69,0,324039
2026-09-04 12:40:01,"Fri, 04 Sep 2026 12:39:53 GMT",2,146,1.9,6.5,day,156.1,2632,8798,14.77,8,6,5,4,0.4,0.11,0.17,0.525,0.94,254,0.88,0.468,27,70,117,167,0,350138
2026-09-04 12:40:14,"Fri, 04 Sep 2026 12:40:05 GMT",2,147,9.4,10.1,day,155.7,33565,53359,3.74,2269,35,96,54,0.44,0.87,0.88,0.538,0.553,254,0.0,0.166,71,2620,93,283,0,163526
2026-09-04 12:41:05,"Fri, 04 Sep 2026 12:40:52 GMT",0,66,3.4,4.4,day,113.6,2650,8627,11.86,38,35,18,3,0.7,0.23,0.27,0.452,0.053,253,0.18,0.324,28,166,1,65,0,276028
2026-09-04 12:41:18,"Fri, 04 Sep 2026 12:41:07 GMT",115,85,5.9,6.1,day,121.2,7225,18339,9.98,113,94,26,10,0.43,0.23,0.24,0.105,0.157,240,0.0,0.452,35,494,3,391,0,237234
2026-09-04 12:42:00,"Fri, 04 Sep 2026 12:41:53 GMT",119,42,1.0,4.0,day,158.7,2420,7891,13.39,14,12,7,5,0.4,0.13,0.22,0.359,0.648,251,0.5,0.447,46,104,13,67,0,332487
2026-09-04 12:42:13,"Fri, 04 Sep 2026 12:42:07 GMT",119,43,0.7,4.0,day,158.5,1537,6065,13.45,7,5,4,3,0.58,0.16,0.47,0.659,0.384,231,0.0,0.465,25,44,11,40,0,333855
2026-09-04 12:43:03,"Fri, 04 Sep 2026 12:42:54 GMT",2,148,3.1,7.4,day,156.1,6006,21480,15.18,49,20,12,9,0.45,0.19,0.23,0.935,0.402,233,0.0,0.403,62,257,155,289,0,347863
2026-09-04 12:43:16,"Fri, 04 Sep 2026 12:43:07 GMT",4,69,1.3,6.5,day,153.7,2891,9516,15.26,48,16,16,9,0.33,0.37,0.45,0.547,0.917,255,0.81,0.386,35,131,54,127,0,342739
2026-09-04 12:44:06,"Fri, 04 Sep 2026 12:43:52 GMT",0,67,2.2,4.6,day,115.3,1804,6646,12.04,37,12,22,5,0.34,0.31,0.44,0.418,0.052,254,0.08,0.32,33,118,1,51,0,277178
2026-09-04 12:44:19,"Fri, 04 Sep 2026 12:44:06 GMT",33,63,5.8,6.2,day,123.6,8561,20953,10.13,117,106,27,10,0.43,0.21,0.21,0.119,0.07,251,0.02,0.177,33,569,0,15,0,239197
2026-09-04 12:45:09,"Fri, 04 Sep 2026 12:44:58 GMT",119,44,0.8,3.7,day,157.6,1728,7115,13.36,6,5,2,5,0.6,0.11,0.33,0.257,0.923,254,0.17,0.387,32,55,10,33,0,330724
2026-09-04 12:45:22,"Fri, 04 Sep 2026 12:45:13 GMT",28,93,2.9,5.6,day,161.8,3423,12515,14.41,87,10,16,11,0.49,0.55,0.64,0.917,0.463,246,0.0,0.349,28,158,68,192,0,337479
2026-09-04 12:46:00,"Fri, 04 Sep 2026 12:45:53 GMT",2,149,2.5,7.2,day,156.6,4005,15685,15.1,39,15,9,9,0.48,0.26,0.34,0.95,0.437,253,0.03,0.327,35,148,138,235,0,348635
2026-09-04 12:46:12,"Fri, 04 Sep 2026 12:46:08 GMT",4,70,2.1,5.9,day,151.3,3261,10405,15.3,49,34,14,10,0.35,0.29,0.35,0.568,0.409,237,0.0,0.237,32,169,57,143,0,336822
