utc,last_modified,preset,n,dist,mode,bright,px,blob,blob2,bw,bh,fill,dom,dom2,cx,cy,bpk,bsat,bact,nblobs,blocks,vetoed,veto30,hit,bytes
2026-09-01 23:58:24,"Tue, 01 Sep 2026 23:58:05 GMT",12,183,7.6,night,64.9,11461,323,76,50,14,0.46,0.43,0.48,0.209,0.408,163,0.0,0.062,89,746,0,0,0,90978
2026-09-01 23:59:01,"Tue, 01 Sep 2026 23:58:51 GMT",15,187,0.3,night,72.3,28,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,137537
2026-09-01 23:59:13,"Tue, 01 Sep 2026 23:59:05 GMT",11,185,0.5,night,26.5,2,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,83137
2026-09-02 00:00:00,"Tue, 01 Sep 2026 23:59:50 GMT",14,269,0.3,night,61.8,2,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,77940
2026-09-02 00:00:12,"Wed, 02 Sep 2026 00:00:04 GMT",16,14,3.3,night,39.5,2715,162,19,42,7,0.55,0.81,0.88,0.203,0.448,255,0.01,0.383,16,200,0,129,0,84277
2026-09-02 00:01:00,"Wed, 02 Sep 2026 00:00:50 GMT",8,201,0.7,night,75.4,300,5,4,2,4,0.62,0.38,0.56,0.527,0.437,43,0.0,0.171,6,13,0,0,0,146396
2026-09-02 00:01:12,"Wed, 02 Sep 2026 00:01:05 GMT",12,184,2.5,night,72.1,1017,21,5,12,3,0.58,0.38,0.5,0.157,0.481,180,0.0,0.119,18,56,0,0,0,147392
2026-09-02 00:02:01,"Wed, 02 Sep 2026 00:01:50 GMT",15,188,0.3,night,72.2,15,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,137995
2026-09-02 00:02:14,"Wed, 02 Sep 2026 00:02:04 GMT",11,186,0.3,night,25.9,4,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,80723
2026-09-02 00:03:02,"Wed, 02 Sep 2026 00:02:51 GMT",14,270,0.7,night,58.8,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,75058
2026-09-02 00:03:15,"Wed, 02 Sep 2026 00:03:05 GMT",18,17,1.8,night,58.5,430,2,1,1,2,1.0,0.33,0.0,0.24,0.731,136,0.0,0.306,5,6,0,2,0,123895
2026-09-02 00:03:52,"Wed, 02 Sep 2026 00:03:50 GMT",8,202,0.7,night,73.5,51,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,144538
2026-09-02 00:04:05,"Wed, 02 Sep 2026 00:03:50 GMT",8,203,0.5,night,73.5,8,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,144538
2026-09-02 00:04:17,"Wed, 02 Sep 2026 00:04:06 GMT",12,185,1.6,night,70.2,394,2,2,2,1,1.0,0.25,0.0,0.13,0.481,24,0.0,0.175,6,8,0,0,0,145776
2026-09-02 00:04:54,"Wed, 02 Sep 2026 00:04:50 GMT",16,15,6.8,night,34.4,3607,121,93,40,6,0.5,0.49,0.51,0.355,0.435,182,0.0,0.347,12,246,0,142,0,72341
2026-09-02 00:05:06,"Wed, 02 Sep 2026 00:05:05 GMT",11,187,0.3,night,25.7,14,1,0,1,1,1.0,1.0,0.0,0.917,0.87,118,0.0,0.06,1,1,0,0,0,80720
2026-09-02 00:05:18,"Wed, 02 Sep 2026 00:05:05 GMT",11,188,0.2,night,25.7,7,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,80720
2026-09-02 00:05:55,"Wed, 02 Sep 2026 00:05:50 GMT",14,271,1.2,night,64.0,179,12,0,5,4,0.6,1.0,1.0,0.251,0.755,255,1.0,0.06,1,12,0,0,1,82087
2026-09-02 00:06:19,"Wed, 02 Sep 2026 00:06:06 GMT",13,189,0.7,night,48.2,12,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,109850
2026-09-02 00:06:57,"Wed, 02 Sep 2026 00:06:50 GMT",8,204,0.4,night,73.5,136,1,1,1,1,1.0,0.33,0.0,0.823,0.926,128,0.0,0.06,3,3,0,0,0,144120
