utc,last_modified,preset,n,dist,dist2,mode,bright,px,pxlo,edge,blob,blob2,bw,bh,fill,dom,dom2,cx,cy,bpk,bsat,bact,nblobs,blocks,vetoed,veto30,hit,bytes
2026-09-05 23:59:33,"Sat, 05 Sep 2026 23:59:05 GMT",4,547,3.0,13.8,night,60.7,413,3133,8.19,4,2,2,3,0.67,0.21,1.0,0.534,0.792,88,0.0,0.392,11,19,1,12,0,72843
2026-09-05 23:59:57,"Sat, 05 Sep 2026 23:59:51 GMT",31,395,1.1,11.7,night,41.2,362,2799,7.41,3,3,3,2,0.5,0.2,0.5,0.062,0.284,65,0.0,0.187,9,15,0,3,0,85749
2026-09-06 00:00:20,"Sun, 06 Sep 2026 00:00:08 GMT",31,396,0.9,11.7,night,41.2,178,1538,7.43,5,1,4,2,0.62,0.56,1.0,0.173,0.248,98,0.0,0.173,5,9,0,1,0,85871
2026-09-06 00:00:55,"Sun, 06 Sep 2026 00:00:50 GMT",2,665,0.9,12.4,night,39.4,630,2679,5.82,21,18,8,5,0.53,0.49,0.54,0.292,0.796,248,0.0,0.382,5,43,1,23,0,67109
2026-09-06 00:01:07,"Sun, 06 Sep 2026 00:01:05 GMT",30,398,1.0,10.7,night,48.0,31,925,8.33,1,0,1,1,1.0,1.0,0.0,0.156,0.722,169,0.0,0.171,1,1,0,0,0,90277
2026-09-06 00:01:18,"Sun, 06 Sep 2026 00:01:05 GMT",30,399,0.7,10.7,night,48.0,8,357,8.33,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,90277
2026-09-06 00:01:58,"Sun, 06 Sep 2026 00:01:50 GMT",3,544,1.4,11.4,night,58.2,30,1876,5.94,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,64378
2026-09-06 00:02:09,"Sun, 06 Sep 2026 00:02:08 GMT",3,545,1.0,11.3,night,58.1,5,629,6.14,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,67631
2026-09-06 00:02:21,"Sun, 06 Sep 2026 00:02:08 GMT",3,546,0.7,11.3,night,58.1,1,112,6.14,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,67631
2026-09-06 00:02:56,"Sun, 06 Sep 2026 00:02:52 GMT",4,548,2.2,13.7,night,59.1,440,2620,8.1,2,2,1,2,1.0,0.15,0.0,0.635,0.694,123,0.0,0.255,8,13,2,11,0,72416
2026-09-06 00:03:07,"Sun, 06 Sep 2026 00:03:06 GMT",4,549,1.5,13.7,night,59.0,169,1195,8.11,1,1,1,1,1.0,0.25,0.0,0.635,0.685,118,0.0,0.345,4,4,1,4,0,72425
2026-09-06 00:03:19,"Sun, 06 Sep 2026 00:03:06 GMT",4,550,1.1,13.7,night,59.0,58,622,8.11,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,72425
2026-09-06 00:03:54,"Sun, 06 Sep 2026 00:03:50 GMT",31,397,1.1,11.7,night,40.9,89,1703,7.42,1,0,1,1,1.0,1.0,0.0,0.177,0.241,79,0.0,0.353,1,1,0,1,0,86041
2026-09-06 00:04:17,"Sun, 06 Sep 2026 00:04:06 GMT",2,666,1.1,12.8,night,39.2,610,2924,5.24,29,8,10,6,0.48,0.67,0.71,0.283,0.802,252,0.1,0.375,5,43,1,22,0,57786
2026-09-06 00:04:52,"Sun, 06 Sep 2026 00:04:50 GMT",30,400,1.7,11.3,night,50.8,59,1436,8.41,2,0,2,1,1.0,1.0,0.0,0.151,0.722,172,0.0,0.185,1,2,0,0,0,87869
2026-09-06 00:05:15,"Sun, 06 Sep 2026 00:05:05 GMT",30,401,0.7,10.7,night,46.6,21,205,8.26,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,89662
2026-09-06 00:06:02,"Sun, 06 Sep 2026 00:05:49 GMT",3,547,0.6,11.4,night,58.2,9,124,6.14,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,67739
2026-09-06 00:06:13,"Sun, 06 Sep 2026 00:06:04 GMT",3,548,0.5,11.4,night,58.1,4,54,6.14,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,67784
2026-09-06 00:07:00,"Sun, 06 Sep 2026 00:06:51 GMT",4,551,2.1,13.6,night,59.4,3158,6681,7.91,79,51,19,11,0.38,0.33,0.34,0.73,0.808,202,0.0,0.138,19,239,2,20,0,71332
2026-09-06 00:07:57,"Sun, 06 Sep 2026 00:07:48 GMT",35,17,1.5,11.8,night,15.5,549,5531,2.44,7,6,6,2,0.58,0.23,0.28,0.256,0.505,122,0.0,0.352,10,31,0,22,0,30861
2026-09-06 00:08:09,"Sun, 06 Sep 2026 00:08:04 GMT",2,667,1.0,12.2,night,38.2,768,2703,5.71,54,1,8,11,0.61,0.96,1.0,0.29,0.874,253,0.13,0.246,3,56,1,17,0,66562
2026-09-06 00:09:07,"Sun, 06 Sep 2026 00:09:05 GMT",30,402,0.7,10.8,night,46.9,22,322,8.23,1,1,1,1,1.0,0.5,0.0,0.188,0.537,108,0.0,0.114,2,2,0,0,0,89136
2026-09-06 00:09:52,"Sun, 06 Sep 2026 00:09:51 GMT",3,549,0.4,11.4,night,58.3,13,126,6.15,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,68004
2026-09-06 00:10:04,"Sun, 06 Sep 2026 00:09:51 GMT",3,550,0.3,11.4,night,58.3,9,55,6.15,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,68004
2026-09-06 00:10:16,"Sun, 06 Sep 2026 00:10:04 GMT",3,551,0.2,11.4,night,58.3,8,67,6.14,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,67881
2026-09-06 00:11:14,"Sun, 06 Sep 2026 00:11:05 GMT",31,398,1.0,11.7,night,41.1,76,1703,7.42,1,0,1,1,1.0,1.0,0.0,0.896,0.259,18,0.0,0.06,1,1,0,0,0,85957
